transactionId;tipo;valor;data;dataLote;descricao;numeroDocumento;descInfComplementar
"DC45A3-3613BA-B2CCCF-66F1F4-B94B66";"DEBITO";"300.00";"2026-05-04T00:00";"2026-05-04";"TRANSF.REALIZADA PIX SICOOB";"15802204";"FAV.: INSTITUTO EDUCACIONAL DE GUANHAES|@Transferência Pix|@MARLEY BRANDAO DE MEDEIROS LTDA|@41.921.749 0001-59|@"
"D6DACE-D58B08-4D7C54-28DA15-37A296";"DEBITO";"455.32";"2026-05-04T17:40";"2026-05-04";"PIX EMITIDO OUTRA IF";"Pix";"Pagamento Pix|@18.839.098 0001-30|@"
"27182F-DC1874-2BC5A3-54CFDC-802472";"CREDITO";"455.32";"2026-05-04T17:40";"2026-05-04";"ESTORNO PIX EMITIDO";"Pix";"Estorno Pix|@18.839.098/0001-30|@"
"640433-4E4C38-8C22C1-D05389-4CB51C";"DEBITO";"600.00";"2026-05-04T17:47";"2026-05-04";"PIX EMITIDO OUTRA IF";"Pix";"Pagamento Pix|@49.551.689 0001-31|@"
"685DC5-46316B-65D180-8334D7-67C0EA";"DEBITO";"18.58";"2026-05-04T00:00";"2026-05-04";"DÉB.SEGURO PRESTAMISTA";"SEG/04-05";""
"204D6B-A3D083-EA6657-6EC6F0-FBEF05";"DEBITO";"2.61";"2026-05-04T00:00";"2026-05-04";"DÉB.IOF";"IOF/4-5";""
"1C7F64-447E23-68A6D2-C87B9A-1B20AA";"DEBITO";"18.03";"2026-05-04T00:00";"2026-05-04";"DÉB.IOF";"IOF/4-5";""
"B5A204-16ACDD-539F32-D81F8F-96F503";"DEBITO";"20.00";"2026-05-05T00:51";"2026-05-05";"DÉBITO RECARGA PRÉ-PAGA";"Recarga";""
"94341D-A5F906-0AA79D-0E7056-992223";"DEBITO";"569.15";"2026-05-05T14:48";"2026-05-05";"PIX EMITIDO OUTRA IF";"Pix";"Pagamento Pix|@18.839.098 0001-30|@"
"B94481-AC57DA-45EFC2-134DD1-6B42F9";"CREDITO";"569.15";"2026-05-05T14:48";"2026-05-05";"ESTORNO PIX EMITIDO";"Pix";"Estorno Pix|@18.839.098/0001-30|@"
"9EC360-296345-B4E6DA-84FC94-75D09F";"DEBITO";"569.15";"2026-05-05T14:49";"2026-05-05";"PIX EMITIDO OUTRA IF";"Pix";"Pagamento Pix|@18.839.098 0001-30|@"
