transactionId;tipo;valor;data;dataLote;descricao;numeroDocumento;descInfComplementar
"5CA9F8-FC3DB2-5CDA22-0CD447-0CF6D8";"CREDITO";"300.00";"2026-05-04T00:00";"2026-05-04";"TRANSF.RECEBIDA - PIX SICOOB";"15802204";"REM.: MARLEY BRANDAO DE MEDEIROS LTDA|@Transferência Pix|@MARLEY BRANDAO DE MEDEIROS LTDA|@41.921.749 0001-59|@"
"B605FE-A4A4AC-B7C91A-FBBAED-F2E1D7";"DEBITO";"0.01";"2026-05-04T00:00";"2026-05-04";"DÉB.IOF";"IOF/4-5";""
"49337C-587874-2153F9-AD35AC-C74CE5";"DEBITO";"1.04";"2026-05-04T00:00";"2026-05-04";"DÉB.IOF";"IOF/4-5";""
"9C8A48-D85BAB-AB3D4A-9D0377-805DCE";"DEBITO";"0.54";"2026-05-07T00:00";"2026-05-07";"JUROS CONTA GARANTIDA";"LC-202604";""
"5CE6A8-8646E8-F651B6-A02DA8-EC9C92";"DEBITO";"3.54";"2026-05-13T00:00";"2026-05-13";"DÉB.SEGURO PRESTAMISTA";"SEG/13-05";""
"027D3C-154784-BEF664-713740-E45224";"DEBITO";"45.00";"2026-05-14T21:55";"2026-05-14";"TARIFA RENOVAÇÃO LIMITE CONTA GARANTIDA";"26";""
"5E352B-8B5F43-8588F0-58523F-BAB0B4";"CREDITO";"100.00";"2026-05-15T20:35";"2026-05-15";"TRANSF.RECEBIDA - PIX SICOOB";"15938416";"REM.: MARLEY BRANDAO DE MEDEIROS LTDA|@Transferência Pix|@MARLEY BRANDAO DE MEDEIROS LTDA|@41.921.749 0001-59|@"
"2EE552-B24D56-F17C49-0EF540-FA3E84";"DEBITO";"49.90";"2026-05-15T22:06";"2026-05-15";"DÉBITO PACOTE SERVIÇOS";"129";""
"A55D14-28C56A-DA1AB7-4FD3D7-BB7C0E";"CREDITO";"3000.00";"2026-05-18T14:57";"2026-05-18";"TRANSF.RECEBIDA - PIX SICOOB";"15952241";"REM.: MARLEY BRANDAO DE MEDEIROS LTDA|@Transferência Pix|@MARLEY BRANDAO DE MEDEIROS LTDA|@41.921.749 0001-59|@"
"43F5F7-4A234D-C7ECDC-75DDEB-2C9C77";"DEBITO";"122.00";"2026-05-19T17:23";"2026-05-19";"PIX EMITIDO OUTRA IF";"Pix";"Pagamento Pix|@***.952.206-**|@acao dia enfermeiro"
"4EE8F2-C36015-22B226-ED5279-E96734";"DEBITO";"904.99";"2026-05-20T13:31";"2026-05-20";"DÉB. PAGAMENTO DE BOLETO INTERCREDIS";"15972697";""
"023F97-B870E5-0FF637-F4CE16-F71B29";"DEBITO";"1999.00";"2026-05-20T17:17";"2026-05-20";"TRANSF.REALIZADA PIX SICOOB";"15976516";"FAV.: MARLEY BRANDAO DE MEDEIROS LTDA|@Transferência Pix|@INSTITUTO EDUCACIONAL DE GUANHAES LTDA|@16.804.180 0001-02|@"
"5398AF-9C53DE-15FB5A-A772D0-74FC65";"CREDITO";"300.00";"2026-05-20T17:21";"2026-05-20";"PIX RECEBIDO - OUTRA IF";"Pix";"Recebimento Pix|@MARLEY BRANDAO DE MEDEIROS|@***.924.416-**|@"
"83F091-D572D3-B01C3A-75E175-BFEB53";"DEBITO";"147.46";"2026-05-20T17:21";"2026-05-20";"DÉB.CONV.SANEAMENTO";"15976587";""
"AC2912-65AC77-E78A27-4904B4-3CF047";"DEBITO";"72.02";"2026-05-20T17:22";"2026-05-20";"DÉB.CONV.SANEAMENTO";"15976592";""
"747831-DB6F3E-AC76C2-363D1C-733C0D";"DEBITO";"904.99";"2026-05-22T00:00";"2026-05-22";"DÉB.CONV.DEMAIS EMPRESAS";"MASTERCARD";""
"8965A3-81019E-C892DE-1CD266-09C28D";"DEBITO";"56.55";"2026-05-22T00:00";"2026-05-22";"DÉB.CONV.EN.ELÉTRICA E GÁS";"CEMIG DIST";""
"187732-A57CE8-F92CA4-0CDFB0-E2420E";"DEBITO";"66.37";"2026-05-22T00:00";"2026-05-22";"DÉB.CONV.EN.ELÉTRICA E GÁS";"CEMIG DIST";""
"700855-67D571-E209CC-065115-D919BF";"DEBITO";"561.62";"2026-05-22T00:00";"2026-05-22";"DÉB.CONV.EN.ELÉTRICA E GÁS";"CEMIG DIST";""
"E17E62-D64968-E2284F-339044-B68A0C";"DEBITO";"1186.77";"2026-05-22T00:00";"2026-05-22";"DÉB.CONV.EN.ELÉTRICA E GÁS";"CEMIG DIST";""
"AE54BA-CA9EBC-B59C9C-6FF449-1F63CA";"DEBITO";"671.62";"2026-05-22T00:00";"2026-05-22";"DÉB.CONV.EN.ELÉTRICA E GÁS";"CEMIG DIST";""
"54F6A8-32BD4C-4EFE91-CD3F25-772A86";"DEBITO";"153.90";"2026-05-22T00:00";"2026-05-22";"DÉB.CONV.EN.ELÉTRICA E GÁS";"CEMIG DIST";""
"4751EB-A415E9-6DFD15-933583-3235D8";"DEBITO";"56.55";"2026-05-22T00:00";"2026-05-22";"DÉB.CONV.EN.ELÉTRICA E GÁS";"CEMIG DIST";""
"510CC0-6F9E0C-2A5004-4A1432-632F07";"CREDITO";"904.99";"2026-05-22T00:00";"2026-05-22";"ESTORNO DÉB.CONV.DEMAIS EMPRESAS";"MASTERCA";""
"E671B4-8BC757-3A2AE5-F9DF11-A9DF97";"CREDITO";"2336.00";"2026-05-22T12:16";"2026-05-22";"TRANSF.RECEBIDA - PIX SICOOB";"15991288";"REM.: MARLEY BRANDAO DE MEDEIROS LTDA|@Transferência Pix|@MARLEY BRANDAO DE MEDEIROS LTDA|@41.921.749 0001-59|@"
"CD07A7-594940-307390-F3A74E-4ED96A";"CREDITO";"500.00";"2026-05-22T12:24";"2026-05-22";"PIX RECEBIDO - OUTRA IF";"Pix";"Recebimento Pix|@MARLEY BRANDAO DE MEDEIROS|@***.924.416-**|@"
"7E725D-7D854D-AEAB64-E4D940-A2EF77";"CREDITO";"1700.00";"2026-05-25T00:00";"2026-05-25";"PIX RECEBIDO - OUTRA IF";"Pix";"Recebimento Pix|@MARLEY BRANDAO DE MEDEIROS|@***.924.416-**|@"
"37DDB2-AAC0B3-C194BA-624DC9-FD5B3D";"DEBITO";"1687.50";"2026-05-25T00:00";"2026-05-25";"PIX EMITIDO OUTRA IF";"Pix";"Pagamento Pix|@***.565.676-**|@acordo updoor Guanhaes 1de8"
"54E3C6-8EEE84-8BFF59-0533FF-1D411A";"DEBITO";"50.00";"2026-05-26T10:30";"2026-05-26";"PIX EMITIDO OUTRA IF";"Pix";"Pagamento Pix|@***.952.206-**|@cafe acucar"
"2325C1-FACF3D-3BA907-A18DBA-2E1727";"DEBITO";"50.00";"2026-05-27T08:08";"2026-05-27";"PIX EMITIDO OUTRA IF";"Pix";"Pagamento Pix|@***.924.416-**|@"
"4A9DB3-25AD30-AA4D7D-EEF539-AC2716";"DEBITO";"611.34";"2026-05-29T00:00";"2026-05-29";"DÉB.CONV.TRIBUTOS FEDERAIS - RFB";"RFB - DARA";""
